PDB ID,Recall,Precision,F1-Score
5VX4,0.0,0.0,0.0
5F4J,0.0,0.0,0.0
4E9O,0.0,0.0,0.0
6H3S,0.0,0.0,0.0
1OQE,0.0,0.0,0.0
2J0O,0.0,0.0,0.0
1EPW,0.0,0.0,0.0
3BIK,0.0,0.0,0.0
6ACC,0.0,0.0,0.0
2QKH,0.0,0.0,0.0
5GSR,0.0,0.0,0.0
1Z92,0.0,0.0,0.0
3Q5Y,0.0,0.0,0.0
1DHK,0.0,0.0,0.0
6EY5,0.0,0.0,0.0
6FNZ,0.0,0.0,0.0
2KBH,0.0,0.0,0.0
4WE2,0.0,0.0,0.0
4NFG,0.0,0.0,0.0
1DQT,0.0,0.0,0.0
5J11,0.0,0.0,0.0
5URV,0.0,0.0,0.0
6TFB,0.0,0.0,0.0
5W0E,0.0,0.0,0.0
4NZQ,0.0,0.0,0.0
5NGI,0.0,0.0,0.0
2EC8,0.0,0.0,0.0
6ICC,0.0,0.0,0.0
3RKC,0.0,0.0,0.0
3VTT,0.0,0.0,0.0
6FFY,0.0,0.0,0.0
2KYH,0.0,0.0,0.0
3V6B,0.0,0.0,0.0
1FYH,0.0,0.0,0.0
4ZIH,0.0,0.0,0.0
6F8P,0.0,0.0,0.0
2B4J,0.0,0.0,0.0
1TFX,0.0,0.0,0.0
1M6B,0.0,0.0,0.0
3LES,0.0,0.0,0.0
5NIU,0.0,0.0,0.0
1DJS,0.0,0.0,0.0
3HX4,0.0,0.0,0.0
2XJY,0.0,0.0,0.0
1Z2C,0.0,0.0,0.0
