













After decoder:
1 FeedFNN with 128 hidden units

fold,split,auc,f1,precision,recall
1,train,0.5888224840164185,0.22538535296916962,0.14486226439476013,0.5589415431022644
1,test,0.5570325255393982,0.20913216471672058,0.130679190158844,0.5453670024871826
2,train,0.7093667387962341,0.2720017433166504,0.16692057251930237,0.7709254026412964
2,test,0.6060466766357422,0.2753683626651764,0.17369714379310608,0.6674237251281738
3,train,0.6927252411842346,0.2778458893299103,0.17757084965705872,0.6555055379867554
3,test,0.628433108329773,0.2532691955566406,0.16215531527996063,0.5834202170372009
4,train,0.5950431227684021,0.25449132919311523,0.15910086035728455,0.6901542544364929
4,test,0.5903965830802917,0.2178184688091278,0.13109707832336426,0.6726768612861633
5,train,0.5971601009368896,0.23616191744804382,0.1454625427722931,0.6923240423202515
5,test,0.6049208641052246,0.26358562707901,0.1646668016910553,0.7227891683578491
