PDB ID,AUC,Recall,Precision,F1-Score
5VX4,0.6577659101023587,0.7619047619047619,0.12213740458015267,0.21052631578947367
5F4J,0.47490555855369676,0.7058823529411765,0.08450704225352113,0.1509433962264151
4E9O,0.597906976744186,0.65,0.11206896551724138,0.19117647058823528
6H3S,0.4780701754385965,0.7368421052631579,0.08235294117647059,0.14814814814814814
1OQE,0.6254040077569489,0.8571428571428571,0.08108108108108109,0.14814814814814814
2J0O,0.5893589743589743,0.725,0.20279720279720279,0.31693989071038253
1EPW,0.6451836451836452,0.9230769230769231,0.07058823529411765,0.13114754098360656
3BIK,0.5817307692307692,0.7777777777777778,0.1390728476821192,0.23595505617977527
6ACC,0.6511063140852671,0.8823529411764706,0.09868421052631579,0.17751479289940827
1Z92,0.5954545454545455,1.0,0.08928571428571429,0.16393442622950818
3Q5Y,0.27997227997227997,0.38461538461538464,0.032467532467532464,0.059880239520958084
1DHK,0.6167441860465116,0.75,0.09615384615384616,0.17045454545454544
6EY5,0.6962875197472354,0.875,0.17647058823529413,0.2937062937062937
6FNZ,0.8540205072854831,0.8235294117647058,0.16666666666666666,0.27722772277227725
2KBH,0.8176369863013699,0.9375,0.14018691588785046,0.24390243902439024
4WE2,0.6868334700574241,0.6956521739130435,0.15841584158415842,0.25806451612903225
4NFG,0.6015151515151514,0.8,0.08163265306122448,0.14814814814814814
1DQT,0.7754545454545454,1.0,0.1,0.18181818181818182
5J11,0.5878995433789954,0.9375,0.09259259259259259,0.16853932584269662
5URV,0.6276190476190476,1.0,0.13157894736842105,0.23255813953488372
6TFB,0.554093567251462,0.8421052631578947,0.08421052631578947,0.15311004784688995
5W0E,0.8370433789954338,0.9375,0.15,0.25862068965517243
4NZQ,0.6160310277957337,0.8571428571428571,0.08163265306122448,0.14906832298136646
5NGI,0.5452488687782805,0.6428571428571429,0.06040268456375839,0.11042944785276074
2EC8,0.5483762972882491,0.8620689655172413,0.15527950310559005,0.2631578947368421
6ICC,0.6087962962962963,0.7037037037037037,0.13970588235294118,0.2331288343558282
3RKC,0.7015996718621822,0.30434782608695654,0.14285714285714285,0.19444444444444445
3VTT,0.8019005847953216,0.5789473684210527,0.18333333333333332,0.27848101265822783
6FFY,0.6095520777118186,0.9411764705882353,0.11594202898550725,0.2064516129032258
2KYH,0.6335227272727273,0.5454545454545454,0.06451612903225806,0.11538461538461539
3V6B,0.5878136200716846,0.6666666666666666,0.09022556390977443,0.15894039735099338
1FYH,0.5524242424242425,0.9333333333333333,0.08092485549132948,0.14893617021276595
4ZIH,0.5188356164383562,0.5,0.06722689075630252,0.11851851851851852
6F8P,0.5720720720720721,0.9230769230769231,0.06779661016949153,0.12631578947368421
2B4J,0.5743374272786037,0.7142857142857143,0.072992700729927,0.13245033112582782
1TFX,0.5264612954186414,0.75,0.11920529801324503,0.2057142857142857
1M6B,0.6386046511627907,0.95,0.09743589743589744,0.17674418604651163
3LES,0.557207498383969,0.7142857142857143,0.06622516556291391,0.12121212121212122
5NIU,0.5772695772695773,0.7692307692307693,0.06451612903225806,0.11904761904761904
1DJS,0.5014938113529663,0.5454545454545454,0.08888888888888889,0.15286624203821655
3HX4,0.634417808219178,0.75,0.09230769230769231,0.1643835616438356
2XJY,0.5745341614906831,0.8571428571428571,0.14201183431952663,0.2436548223350254
1Z2C,0.608609794628752,0.8333333333333334,0.11627906976744186,0.20408163265306123
